1956.900826446281, 109.16666666666666
1958.7603305785124, 109.19444444444444
1958.6570247933885, 110.13888888888889
1954.6280991735537, 113.11111111111111
1963.6157024793388, 113.13888888888889
1965.7851239669421, 110.13888888888889
1964.5454545454545, 109.16666666666666
1969.8140495867767, 111.08333333333333
1968.1611570247933, 111.08333333333333
1967.7479338842975, 111.08333333333333
1972.5, 112.16666666666667
1974.7210743801652, 112.16666666666667
1975.650826446281, 113.125
1976.6322314049587, 111.11111111111111
1977.3553719008264, 111.11111111111111
1980.7644628099174, 113.13888888888889
1982.3140495867767, 113.13888888888889
1986.2396694214876, 113.11111111111111
1984.5351239669421, 114.09722222222221
1985.4132231404958, 115.19444444444444
1987.685950413223, 114.11111111111111
1996.5702479338843, 122.11111111111111
1998.4297520661157, 119.11111111111111
1997.5, 117.08333333333333
2005.4545454545455, 116.13888888888889
2014.4421487603306, 117.08333333333333
2012.1694214876034, 116.13888888888889
2011.2396694214876, 116.13888888888889
2008.0371900826447, 115.16666666666666
2007.2107438016528, 115.19444444444444
2006.280991735537, 115.19444444444444
2009.5867768595042, 114.08333333333333
2010.309917355372, 114.08333333333333
2003.2851239669421, 114.11111111111111
2002.4586776859503, 114.08333333333333
1999.2561983471073, 114.08333333333333
2000.599173553719, 115.16666666666666
2001.4256198347107, 115.13888888888889
